# time  Id  DTNHost  true/false
542.0000 M1 7 true
548.0000 M7 6 true
548.0000 M1 6 true
561.0000 M7 5 true
561.0000 M5 5 true
561.0000 M14 5 true
561.0000 M15 5 true
565.0000 M13 15 true
565.0000 M8 15 true
565.0000 M6 15 true
565.0000 M10 15 true
565.0000 M22 15 true
568.0000 M13 0 true
568.0000 M7 0 true
568.0000 M21 0 true
568.0000 M25 0 true
573.0000 M13 14 true
573.0000 M8 14 true
573.0000 M12 14 true
573.0000 M10 14 true
573.0000 M2 14 true
573.0000 M14 14 true
573.0000 M30 14 true
573.0000 M22 14 true
573.0000 M28 14 true
574.0000 M30 11 true
574.0000 M7 11 true
574.0000 M33 11 true
574.0000 M3 11 true
574.0000 M18 11 true
574.0000 M17 11 true
574.0000 M26 11 true
576.0000 M31 4 true
576.0000 M5 4 true
576.0000 M14 4 true
576.0000 M15 4 true
576.0000 M27 4 true
580.0000 M11 18 true
580.0000 M32 18 true
580.0000 M36 18 true
580.0000 M24 18 true
580.0000 M23 18 true
583.0000 M9 2 true
583.0000 M14 2 true
583.0000 M15 2 true
583.0000 M41 2 true
583.0000 M31 2 true
587.0000 M9 1 true
587.0000 M14 1 true
587.0000 M15 1 true
587.0000 M41 1 true
587.0000 M29 1 true
587.0000 M1 8 true
587.0000 M20 8 true
587.0000 M40 8 true
591.0000 M24 19 true
591.0000 M23 19 true
596.0000 M30 12 true
596.0000 M7 12 true
596.0000 M33 12 true
596.0000 M4 12 true
596.0000 M3 12 true
596.0000 M2 12 true
596.0000 M51 12 true
596.0000 M18 12 true
596.0000 M19 12 true
596.0000 M17 12 true
596.0000 M44 12 true
596.0000 M45 12 true
596.0000 M47 12 true
598.0000 M11 17 true
598.0000 M6 17 true
598.0000 M32 17 true
598.0000 M56 17 true
598.0000 M36 17 true
598.0000 M23 17 true
598.0000 M42 17 true
598.0000 M48 17 true
598.0000 M49 17 true
599.0000 M8 13 true
599.0000 M30 13 true
599.0000 M12 13 true
599.0000 M56 13 true
599.0000 M4 13 true
599.0000 M2 13 true
599.0000 M18 13 true
599.0000 M22 13 true
599.0000 M44 13 true
599.0000 M42 13 true
599.0000 M47 13 true
599.0000 M28 13 true
599.0000 M13 16 true
599.0000 M11 16 true
599.0000 M6 16 true
599.0000 M56 16 true
599.0000 M44 16 true
599.0000 M42 16 true
599.0000 M48 16 true
599.0000 M49 16 true
599.0000 M32 16 true
599.0000 M36 16 true
599.0000 M21 16 true
599.0000 M28 16 true
602.0000 M7 10 true
602.0000 M57 10 true
602.0000 M3 10 true
602.0000 M50 10 true
602.0000 M17 10 true
602.0000 M33 10 true
602.0000 M37 10 true
602.0000 M23 10 true
602.0000 M61 10 true
602.0000 M26 10 true
602.0000 M29 10 true
602.0000 M51 7 true
602.0000 M59 7 true
602.0000 M58 7 true
602.0000 M16 7 true
602.0000 M17 7 true
602.0000 M15 7 true
602.0000 M20 7 true
602.0000 M40 7 true
612.0000 M31 3 true
612.0000 M5 3 true
612.0000 M52 3 true
612.0000 M14 3 true
612.0000 M15 3 true
614.0000 M11 6 true
614.0000 M70 6 true
614.0000 M33 6 true
614.0000 M51 6 true
614.0000 M17 6 true
614.0000 M14 6 true
614.0000 M15 6 true
614.0000 M20 6 true
614.0000 M24 6 true
614.0000 M66 6 true
614.0000 M69 6 true
621.0000 M52 5 true
621.0000 M31 5 true
621.0000 M33 5 true
621.0000 M38 5 true
621.0000 M24 5 true
621.0000 M27 5 true
625.0000 M35 15 true
625.0000 M56 15 true
625.0000 M72 15 true
625.0000 M77 15 true
625.0000 M36 15 true
625.0000 M44 15 true
625.0000 M42 15 true
625.0000 M28 15 true
633.0000 M56 14 true
633.0000 M43 14 true
633.0000 M44 14 true
633.0000 M42 14 true
633.0000 M47 14 true
633.0000 M35 14 true
633.0000 M82 14 true
633.0000 M85 14 true
633.0000 M72 14 true
633.0000 M39 14 true
633.0000 M36 14 true
633.0000 M64 14 true
635.0000 M34 0 true
635.0000 M80 0 true
635.0000 M83 0 true
635.0000 M53 0 true
635.0000 M67 0 true
635.0000 M29 0 true
640.0000 M81 11 true
640.0000 M57 11 true
640.0000 M73 11 true
640.0000 M87 11 true
640.0000 M61 11 true
640.0000 M44 11 true
640.0000 M46 11 true
640.0000 M96 11 true
643.0000 M54 2 true
643.0000 M52 2 true
643.0000 M53 2 true
643.0000 M101 2 true
643.0000 M84 2 true
643.0000 M89 2 true
643.0000 M94 2 true
643.0000 M62 2 true
643.0000 M29 2 true
647.0000 M71 8 true
647.0000 M75 8 true
647.0000 M55 8 true
647.0000 M79 8 true
647.0000 M88 8 true
647.0000 M59 8 true
647.0000 M58 8 true
647.0000 M91 8 true
647.0000 M60 8 true
647.0000 M106 4 true
647.0000 M52 4 true
647.0000 M102 4 true
647.0000 M93 4 true
647.0000 M94 4 true
655.0000 M74 18 true
655.0000 M78 18 true
655.0000 M100 18 true
655.0000 M90 18 true
655.0000 M92 18 true
655.0000 M42 18 true
655.0000 M69 18 true
655.0000 M49 18 true
655.0000 M90 19 true
655.0000 M92 19 true
655.0000 M69 19 true
656.0000 M95 12 true
656.0000 M64 12 true
656.0000 M66 12 true
658.0000 M76 17 true
658.0000 M100 17 true
658.0000 M115 17 true
658.0000 M68 17 true
659.0000 M105 16 true
659.0000 M102 16 true
659.0000 M100 16 true
659.0000 M117 16 true
659.0000 M110 16 true
659.0000 M86 16 true
659.0000 M93 16 true
659.0000 M97 16 true
661.0000 M54 1 true
661.0000 M83 1 true
661.0000 M53 1 true
672.0000 M106 3 true
672.0000 M109 3 true
672.0000 M122 3 true
672.0000 M101 3 true
672.0000 M94 3 true
672.0000 M113 3 true
678.0000 M121 6 true
678.0000 M95 6 true
678.0000 M133 6 true
678.0000 M99 6 true
678.0000 M111 6 true
678.0000 M71 7 true
678.0000 M75 7 true
678.0000 M133 7 true
678.0000 M63 7 true
678.0000 M112 7 true
678.0000 M65 7 true
678.0000 M130 7 true
678.0000 M111 7 true
684.0000 M107 5 true
684.0000 M103 5 true
684.0000 M102 5 true
684.0000 M140 5 true
684.0000 M141 5 true
684.0000 M118 5 true
684.0000 M114 5 true
684.0000 M113 5 true
684.0000 M121 5 true
684.0000 M139 5 true
684.0000 M133 5 true
684.0000 M135 5 true
685.0000 M127 15 true
685.0000 M137 15 true
685.0000 M93 15 true
685.0000 M110 15 true
687.0000 M104 10 true
687.0000 M81 10 true
687.0000 M73 10 true
687.0000 M138 10 true
687.0000 M131 10 true
693.0000 M110 14 true
693.0000 M152 14 true
693.0000 M93 14 true
693.0000 M136 14 true
696.0000 M143 0 true
696.0000 M117 0 true
696.0000 M98 0 true
700.0000 M150 11 true
707.0000 M142 8 true
707.0000 M148 8 true
707.0000 M116 8 true
707.0000 M112 8 true
707.0000 M130 8 true
707.0000 M109 4 true
707.0000 M145 4 true
707.0000 M163 4 true
707.0000 M118 4 true
707.0000 M139 4 true
707.0000 M114 4 true
707.0000 M113 4 true
707.0000 M154 4 true
707.0000 M152 4 true
715.0000 M144 19 true
715.0000 M161 19 true
715.0000 M162 19 true
715.0000 M174 19 true
716.0000 M134 12 true
716.0000 M132 12 true
716.0000 M151 12 true
716.0000 M156 12 true
716.0000 M159 12 true
718.0000 M164 17 true
718.0000 M149 17 true
718.0000 M160 17 true
718.0000 M153 17 true
719.0000 M121 18 true
719.0000 M146 18 true
719.0000 M164 18 true
719.0000 M160 18 true
720.0000 M83 9 true
720.0000 M120 9 true
720.0000 M79 9 true
720.0000 M88 9 true
720.0000 M148 9 true
